meta_ref_id,quote,reports_any_result,reports_quantitative_result,reports_limitation
"Fenoglio, M.S., Rossetti, M.R. & Videla, M. (2020) Negative effects of urbanization on terrestrial arthropod communities: a meta-analysis. Global Ecology and Biogeography, 29, 1412â€“1429.","The negative effects of urbanization on both pollinator abundance and richness, reported in our study, are in line with previous meta-analyses (Fenoglio et al., 2020; Millard et al., 2021).",TRUE,FALSE,FALSE
"Fenoglio, M.S., Rossetti, M.R. & Videla, M. (2020) Negative effects of urbanization on terrestrial arthropod communities: a meta-analysis. Global Ecology and Biogeography, 29, 1412â€“1429.","Many butterflies and moths require specific host plants for larval development and nectar consumption as adults and appear to be very sensitive to urban environmental stressors such as heat-island effects, air and light pollution (Callaghan et al., 2021; Fenoglio et al., 2020; RamÃ­rez-Restrepo & MacGregor-Fors, 2017).",TRUE,FALSE,FALSE
"Fenoglio, M.S., Rossetti, M.R. & Videla, M. (2020) Negative effects of urbanization on terrestrial arthropod communities: a meta-analysis. Global Ecology and Biogeography, 29, 1412â€“1429.","In general, urban development has predominantly negative effects on pollinators (Fenoglio et al., 2020; Millard et al., 2021). ; Previous studies have shown that Hymenoptera insects may be more resilient to urbanization compared to Diptera and Lepidoptera (Baldock et al., 2015; Fenoglio et al., 2020) and urbanization seems to benefit large-bodied, social, cavity-nesting, generalist and non-native species (Buchholz & Egerer, 2020; Fitch et al., 2019). ; Secondly, the effects of urbanization on pollinators could vary between climatic and geographic regions due to differences in land-use history and practices, socioeconomics and geographic variation in pollinator communities (Faeth et al., 2011; Fenoglio et al., 2020). ; Fourthly, the contrasting effects of urbanization on pollinator diversity might be due to methodological differences in the design of the studies, for example within city limits urbanization gradient or ruralâ€“urban or naturalâ€“urban comparisons (Fenoglio et al., 2020; Wenzel et al., 2020). ; Although there are some qualitative reviews on the effects of urbanization on pollinators and pollination (Ayers & Rehan, 2021; Baldock, 2020; Brant et al., 2022; Buchholz & Egerer, 2020; Harrison & Winfree, 2015; Maruyama et al., 2021; Prendergast et al., 2022; Rahimi et al., 2022; Silva et al., 2021; Wenzel et al., 2020), only two meta-analyses investigated the overall effects of urbanization on pollinator diversity (Fenoglio et al., 2020; Millard et al., 2021).",TRUE,FALSE,FALSE
"Ferreira V, GuÃ©rold F (2017) Leaf litter decomposition as a bioassessment tool of acidification effects in streams: evidence from a field study and meta-analysis. Ecol Indic 79:382â€“390.","Leaves, litters, and wood have been widely applied to represent natural organic matter [34â€“36] since river ecologists observed that aquatic organisms could consume them as energy sources [37, 38].",FALSE,FALSE,FALSE
"Field, R., Hawkins, B. A., Cornell, H. V., Currie, D. J., Diniz-Filho, J. A. F., GuÃ©gan, J.-F., Kaufman, D. M., Kerr, J. T., Mittelbach, G. G., Oberdorff, T., O'Brien, E. M., & Turner, J. R. G. (2009). Spatial species-richness gradients across scales: A meta-analysis. Journal of Biogeography, 36(1), 132â€“147. https://doi.org/10.1111/j.1365-2699.2008.01963. x","As a result, scale can critically influence the magnitude in which biodiversity changes are quantified, even when sample effort is standardised (Chase et al., 2018; Chase & Knight, 2013; Field et al., 2009; Hill & Hamer, 2004; Sax & Gaines, 2003).",FALSE,FALSE,FALSE
"Field, R., Hawkins, B.A., Cornell, H.V., Currie, D.J., Diniz-Filho, J.A.F., GuÃ©gan, J.-F. et al. (2009) Spatial species-richness gradients across scales: a meta-analysis. Journal of Biogeography, 36, 132â€“147.","We identify a surprisingly strong influence of fire on global patterns of terrestrial vertebrate richness, and our models perform as well or better than most models created to explain global biodiversity patterns (Field et al., 2009).",FALSE,FALSE,FALSE
"Field, R., Hawkins, B.A., Cornell, H.V., Currie, D.J., Diniz-Filho, J.A.F., GuÃ©gan, J.-F. et al. (2009) Spatial species-richness gradients across scales: a meta-analysis. Journal of Biogeography, 36, 132â€“147.","Although the relative importance of different mechanisms has long been debated, a common theme among terrestrial studies is that productivity is a dominant driver of speciation and macro-scale richness patterns (Cusens et al., 2012; Field et al., 2009; Gillman et al., 2015; Å Ã­movÃ¡ & Storch, 2017) (Figure 1a).",TRUE,FALSE,FALSE
"Field, R., Hawkins, B.A., Cornell, H.V., et al., Spatial species-richness gradients across scales: A meta-analysis,J. Biogeogr., 2009, vol. 36, pp. 132â€“147.","Reviews of spatial diversity gradients are presented in [3, 6â€“9].",FALSE,FALSE,FALSE
"Filazzola, A., Brown, C., Dettlaff, M.A., Batbaatar, A., Grenke, J., Bao, T. et al. (2020) The effects of livestock grazing on biodiversity are multi-trophic: a meta-analysis. Ecology Letters, 23, 1298â€“1309.","To test whether a change in floral diversity (Hedges' d for flower abundance and richness) could predict a change in pollinator diversity (Hedges' d for pollinator abundance and richness), we fitted maximum likelihood meta-regression models (Filazzola et al., 2020).",FALSE,FALSE,FALSE
"Filazzola, A., Brown, C., Dettlaff, M.A., Batbaatar, A., Grenke, J., Bao, T., Peetoom Heida, I., Cahill, J.F., Seabloom, E., 2020. The effects of livestock grazing on biodiversity are multi-trophic: a meta-analysis. Ecol. Lett. 23 (8), 1298â€“1309.","In particular, overgrazing deteriorates the ecological functions and services of grasslands (Filazzola et al., 2020) and threatens the balance among livestock grazing, environmental resources, and ecosystem stability.",TRUE,FALSE,FALSE
"Flick, A.J., Acevedo, M.A. & Eldred, B.D. (2016) The negative effects of pathogen-infected prey on predators: a meta-analysis. Oikos, 125, 1554â€“1560.","We also included a total of 14 studies identified from three previous meta-analyses (other ref; Flick et al., 2016), and searched for papers that cited those already included in our database, garnering a further 36 studies",FALSE,FALSE,FALSE
"Flick, A.J., Acevedo, M.A. & Eldred, B.D. (2016) The negative effects of pathogen-infected prey on predators: a meta-analysis. Oikos, 125, 1554â€“1560.","Our results add to this work, as well as that incorporating the effects of parasites into community ecology (Flick et al., 2016; other ref)",TRUE,FALSE,FALSE
"Floyd, D. L., Prentice-Dunn, S., & Rogers, R. W. (2000). A meta-analysis of research on protection motivation theory. Journal of Applied Social Psychology, 30, 407â€“429","Much research empha- sizes the importance of both self-efficacy and response efficacy for influencing adoption of behaviors (Doherty & Webler, 2016; Floyd et al., 2000; Klockner, 2013), a reminder that action requires not only appraisal of threat, but also appraisal of the behavioral response.",FALSE,FALSE,TRUE
Folling A (1934) Excretion of phenylpyruvic acid in urine as a metabolicnomaly in connection with imbecility.Nord Med Tidskr 8:1054-1059,"For example, phenylketonuria, the most common single-gene metabolic disorder, was discovered in 1934 (Folling 1934) and shown to be responsible for 1% of the population insti- tutionalized for severe intellectual disability.",FALSE,FALSE,FALSE
"Fontaine, J. B., & Kennedy, P. L. (2012). Meta-analysis of avian and smallmammal response to fire severity and fire surrogate treatments in U.S. fire-prone forests. Ecological Applications, 22, 1547â€“1561. https://doi.org/10.1890/12-0009.1","At the scale of the pixel, potential species richness responded positively to mechanical thinning across all climate and forest management scenarios and prescribed fire except for when the historical climate was used. This aligns with findings from other studies that have found stable or increasing habitat for species with forest thinning (Demarais et al., 2017; Verschuyl et al., 2011) and prescribed burning (Fontaine & Kennedy, 2012; McDowell et al., 2021; Sitters et al., 2015).",TRUE,FALSE,FALSE
"Foo, Y. Z., Nakagawa, S., Rhodes, G., & Simmons, L. W. (2017). The effects of sex hormones on immune function: A meta-analysis. Biological Reviews of the Cambridge Philosophical Society, 92(1), 551â€“571. https://doi.org/10.1111/brv.12243","This idea has received little explicit attention, perhaps due to the challenge of collecting host fitness and parasite load data in natural populations, but several authors have noted that higher quality mates may have more parasites (Endler & Lyles, 1989; Foo et al., 2017; Getty, 2002).",TRUE,FALSE,FALSE
"Foo, Y. Z., Nakagawa, S., Rhodes, G., & Simmons, L. W. (2017). The effects of sex hormones on immune function: A metaâ€analysis. Biological Reviews, 92(1), 551â€“571. https://doi.org/10.1111/brv.12243","Several studies evidence an immunosuppressive role of testosterone on different components of the immune system (Foo et al., 2017; Trigunaite et al., 2015), so that testicular testosterone induces a reduction of proâ€inflamatory cytokines in macrophages (D'agostino et al., 1999).",TRUE,FALSE,FALSE
"Forest fragmentation likely facilitates non-native species invasion and may even enhance climate change effects because anthropogenic disturbances interact with many ecological processes, causing even more negative effects on and changes to biodiversity (Barlow et al., 2018; Brook et al., 2008; Mantyka-Pringle et al., 2012; McGill et al., 2015).","At the individual level, values and nature connection can influence attitudes and behaviors (Milfont et al., 2010; Whitburn et al., 2020).",TRUE,FALSE,FALSE
"Fox CW, Reed DH. 2011. Inbreeding depression increases with environmental stress: an experimental study and meta-analysis. Evolution. 65:246â€“258. doi:10.1111/j.1558- 5646.2010.01108.x.",It is well known that the extent of inbreeding depression is usually profoundly affected by environmental stress (Armbruster and Reed 2005; Liao and Reed 2009; Joubert and Bijlsma 2010; Fox and Reed 2011).,TRUE,FALSE,FALSE
"Fox, C. W., & Reed, D. H. (2010). Environmental stress: An experimen- tal study and meta-analysis. Evolution, 65, 246â€“258. doi:10.1111/ j.1558-5646.2010.01108.x","Finally, it should be noted that under conditions of environmental stress, the benefits and costs of outbreeding may differ (Kokko & Otts, 2006; Fox & Reed, 2010), and could vary for different fitness-related traits (Whitlock et al., 2013).",TRUE,FALSE,FALSE
"Fox, C. W., & Reed, D. H. (2011). Inbreeding depression increases with environmental stress: An experimental study and meta-analysis. Evolution, 65, 246â€“258.","In broad- sense studies, the increase in genetic variation in novel environments could arise from inbreeding depression, which is often amplified in stressful (or novel) environments (Armbruster & Reed, 2005; Cheptou & Donohue, 2011; Fox & Reed, 2011).",TRUE,FALSE,FALSE
Frankham R (2015) Genetic rescue of small inbred populations: meta-analysis reveals large and consistent benefits of gene flow. Mol Ecol 24:2610â€“2618. https:// doi. org/ 10. 1111/ mec. 13139,"Identifying populations that have experienced genetic bottlenecks, disruptions of among-populations gene flow, or displaying low Ne and/ or high inbreeding rates is thus particularly helpful to define and prioritize conservation actions (Hailer et al. 2006; Frankham 2015).",TRUE,FALSE,FALSE
"Frankham, R. (2015). Genetic rescue of small inbred populations: Meta-analysis reveals large and consistent benefits of gene flow. Molecular Ecology, 24(11), 2610â€“2618.","Classical recommendations support the use of individuals from highly variable and ecologically similar populations to maximize evolutionary potential and avoid inbreeding and outbreeding depression (Finger et al., 2011; Frankham, 2015; Pickup et al., 2013; Ralls et al., 2020), and these criteria can be applied to populations but also, if data are available, to individual candidates.",TRUE,FALSE,FALSE
"Frankham, R. (2015). Genetic rescue of small inbred populations: Meta-analysis reveals large and consistent benefits of gene flow. Molecular Ecology, 24(11), 2610â€“2618.","When managing wildlife, understanding population connectivity is particularly important with implications for identifying key habitats and corridors that connect populations, determine the potential impacts of human activities on these connections, inform decisions about reintroduction and translocation efforts, and strategies for maintaining population genetic diversity (Frankham, 2015; Jangjoo et al., 2016; Tewksbury et al., 2002).",TRUE,FALSE,FALSE
"Frankham, R. (2015). Genetic rescue of small inbred populations: Meta-analysis reveals large and consistent benefits of gene flow. Molecular Ecology, 24(11), 2610â€“2618. https://doi.org/10.1111/ mec.13139","This fixed load often reduces fitness (Frankham, 2015; GlÃ©min, 2003; Ingvarsson, 2001; Leimu et al., 2006; Whiteley et al., 2015).",FALSE,FALSE,FALSE
"Frankham, R. (2015). Genetic rescue of small inbred populations: meta-analysis reveals large and consistent benefits of gene flow. Molecular Ecology, 24(11), 2610â€“2618. https://doi.org/10.1111/ mec.13139","By investigating gene flow and barriers to animal movement, scientists can provide conservationists with the information required to mitigate the deleterious effects of isolation (Frankham, 2005, 2015).",TRUE,FALSE,FALSE
"Franklin KA, Nicoll MAC, Butler SJ, Norris K, Ratcliffe N, Nakagawa S, Gill JA (2022a) Individual repeatability of avian migration phenology: a systematic review and meta-analysis. J Anim Ecol 91: 1416âˆ’1430","Migratory schedules of seabirds are usually highly consistent both within and among individuals, but departure timing is more variable post-breeding than post-wintering (Franklin et al. 2022a), so seabirds may have more flexibility to synchronize postbreeding migrations with favorable winds.",TRUE,FALSE,FALSE
"Franklin, A. B., K. M. Dugger, D. B. Lesmeister, R. J. Davis, J. D. Wiens, G. C. White, J. D. Nichols, J. E., Hines, C. B. Yackulic, C. J. Schwarz, et al. 2021. Rangeâ€wide declines of northern spotted owl populations in the Pacific Northwest: a metaâ€ analysis. Biological Conservation 259:1091168.","Detailed demographic studies have reported no trend (Lande 1988) and later a slow decline in abundance across their range (Anthony et al 2006, Forsman et al. 2011, Dugger et al. 2016, Franklin et al. 2021).",TRUE,TRUE,FALSE
"Franklin, A. B., K. M. Dugger, D. B. Lesmeister, R. J. Davis, J. D. Wiens, G. C. White, J. D. Nichols, J. E., Hines, C. B. Yackulic, C. J. Schwarz, et al. 2021. Rangeâ€wide declines of northern spotted owl populations in the Pacific Northwest: a metaâ€ analysis. Biological Conservation 259:1091168.","Observational studies have hypothesized (Kelly et al. 2003) or identified effects of many environmental factors on owl demography, including some negative effects of associated barred owl (Strix varia) on spotted owl survival and colonization rates (GutiÃ©rrez et al. 2007, Dugger et al. 2016), and on survival and recruitment (Franklin et al. 2021).",TRUE,FALSE,FALSE
"Franklin, A. B., K. M. Dugger, D. B. Lesmeister, R. J. Davis, J. D. Wiens, G. C. White, J. D. Nichols, J. E., Hines, C. B. Yackulic, C. J. Schwarz, et al. 2021. Rangeâ€wide declines of northern spotted owl populations in the Pacific Northwest: a metaâ€ analysis. Biological Conservation 259:1091168.","There were no validated predictions, though a prediction occurred of continued spotted owl decline if barred owls were not removed (Franklin et al. 2021).",TRUE,FALSE,FALSE
"Franklin, J. C., Ribeiro, J. D., Fox, K. R., Bentley, K. H., Kleiman, E. M., Huang, X., â€¦ Nock, M. K. (2017). Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research. Psychological Bulletin, 143(2), 187â€“232.","Depression predicts suicidal outcomes only weaklyâ€”no more accurately than do hundreds of other risk factors (Franklin et al., 2017)â€”and most people who take their own lives were not observably depressed (Bertolote, Fleischmann, De Leo, & Wasserman, 2004).",TRUE,TRUE,FALSE
"Franklin, J. C., Ribeiro, J. D., Fox, K. R., Bentley, K. H., Kleiman, E. M., Huang, X., â€¦ Nock, M. K. (2017). Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research. Psychological Bulletin, 143(2), 187â€“232.","Despite an intense search over many decades, no set of social (or any other) conditions has been identified that predicts any measure of suicidal behavior much better than chance (Belsher et al., 2019; Franklin et al., 2017)",FALSE,FALSE,TRUE
"Franklin, J. C., Ribeiro, J. D., Fox, K. R., Bentley, K. H., Kleiman, E. M., Huang, X., â€¦ Nock, M. K. (2017). Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research. Psychological Bulletin, 143(2), 187â€“232.","Enactment of suicidal thoughts is usually a private behavior and is rarely preceded by usefully predictive or actionable cues (Franklin et al., 2017; Rimkeviciene & De Leo, 2015; Soper et al., 2022)",FALSE,FALSE,FALSE
"Franklin, J. C., Ribeiro, J. D., Fox, K. R., Bentley, K. H., Kleiman, E. M., Huang, X., â€¦ Nock, M. K. (2017). Risk factors for suicidal thoughts and behaviors: A meta-analysis of 50 years of research. Psychological Bulletin, 143(2), 187â€“232.","They are usually impulsive (Rimkeviciene & De Leo, 2015) and virtually never open to usefully accurate prediction (Belsher et al., 2019; Franklin et al., 2017; Soper, Malo Ocejo, & Large, 2022)",TRUE,FALSE,FALSE
"Fransquet, P. D., Wrigglesworth, J., Woods, R. L., Ernst, M. E., & Ryan, J. (2019). The epigenetic clock as a predictor of disease and mortality risk: A systematic review and meta-analysis. Clinical Epigenetics, 11(1), 1â€“17. https://doi.org/10.1186/s1314 8-019- 0656- 7","Publication bias is a potential concern in this context, as shown for example for epigenetic clocks of mortality risk and disease in humans (Fransquet et al., 2019).",TRUE,FALSE,FALSE
"Fraser DJ, Weir LK, Bernatchez L, Hansen MM, Taylor EB (2011) Extent and scale of local adaptation in sal- monid fishes: review and meta-analysis. Heredity 106(3):404â€“420",Local adaptation to different environmental conditions is common in salmonids (Eliason et al. 2011; Narum et al. 2013) and arises more often as geographic distance between population increases (Fraser et al. 2011).,FALSE,FALSE,FALSE
"Fraser DJ, Weir LK, Bernatchez L, Hansen MM, Taylor EB (2011) Extent and scale of local adaptation in salmonid fishes: review and meta-analysis. Heredity 106:404â€“420","We found significant intraspecific variation in toxin expression in C. tzotzilorum (Fig. 2C), which could indicate local adaptation between the northern and southern populations (Fraser et al. 2011; Strickland et al. 2018b).",TRUE,FALSE,FALSE
"Fraser, D. J., Weir, L. K., Bernatchez, L., Hansen, M. M., & Taylor, E. B. (2011). Extent and scale of local adaptation in salmonid fishes: Review and meta-analysis. Heredity, 106(3), 404â€“420.","Because of this lineage divergence, genetic analyses indicate pink salmon are more related to one another based on allochrony, rather than geographyâ€”e. g. all odd-year fish are more related to one another than they are to an even-year fish in the exact same habitatâ€”whereas geography is the dominant feature structuring populations in most other salmonids (Christensen et al., 2021; Fraser et al., 2011; Seeb et al., 2014; Tarpey et al., 2017).",TRUE,FALSE,FALSE
"Froese, R. Cube law, condition factor and weightâ€“length relationships: history, meta-analysis and recommendations. J. Appl. Ichthyol. 22, 241â€“253 (2006).","We only used fish individuals with a body mass in the range between 0.5 g and 2,000 g to account for potential body size biases in electro- fishing efficiency that affect the capture of the smallest (<20 mm; that is, approximately 0.5 g) and the largest individuals (Extended Data Fig.4)57,58.",FALSE,FALSE,FALSE
"Fu H, Xu J, Zhang H, Garcia Molinos J, Zhang M, Klaar M, Brown LE. 2023. A meta-analysis of envi- ronmental responses to freshwater ecosystem restoration in China (1987-2018). Environ Pollut. 316(Pt 2):120589. doi: 10.1016/j.envpol.2022.120589.","Water properties, such as temperature, dissolved oxygen, pH and transparency can, directly and indirectly, affect aquatic community structure and species composition in freshwater ecosystems (Azrina et al. 2006; Bespalaya et al. 2021; Amorim and Moura 2021; Fu et al. 2023).",TRUE,FALSE,FALSE
"Fu, G., & Shen, Z. X. (2017). Response of alpine soils to nitrogen addition on the Tibetan plateau: A meta-analysis. Applied Soil Ecology, 114, 99â€“104. https://doi.org/10.1016/j.apsoil.2017.03.008","Like other N fertilizer experiments (Fu & Shen, 2017; Hou et al., 2021; Zhu et al., 2020), the specific N levels in this study were set to approximately indicate a doubling of N deposi- tion with each increase in Nrate starting with the real atmospheric deposition rate.",FALSE,FALSE,FALSE
"Fuzessy LF, Cornelissen TG, Janson C, Silveira FA (2016) How do primates affect seed germination? A meta-analysis of gut passage effects on neotropical plants. Oikos 125:1069â€“1080. https:// doi. org/ 10. 1111/ oik. 02986","However, many experiments conducted in the tropical regions show that primates (including gibbons on Borneo) had neutral or positive impacts on both rate and duration of seed germination (McConkey 2000; Fuzessy et al. 2016).",TRUE,FALSE,FALSE
"Gaertner, M., Breeyen, A.D., Hui, C., and Richard- son, D.M., Impacts of alien plant invasions on species richness in Mediterranean-type ecosystems: A meta- analysis, Prog. Phys. Geogr., 2009, vol. 33, pp. 319â€“338.",But are dominant species capable of influencing the species richness of large patches of vegetation? The results of some studies [5â€“7] do not confirm this fear.,TRUE,FALSE,FALSE
"Gaertner, M., Den Breeyen, A., Hui, C. and Richardson, D.M., 2009. Impacts of alien plant invasions on species richness in Mediterranean-type ecosystems: a meta-analysis. Progress in Physical Geography, 33(3), pp.319-338.","Formerly assumed relatively intact and away from invasive alien plant species (IAPS) (McDougall et al., 2011), mountain areas have been invaded globally, and many IAPS had reached relatively high elevations (Pauchard et al., 2009; McDougall et al., 2011; Alexander et al., 2016), increasingly threatening native biodiversity (Gaertner et al., 2009; Hejda et al., 2009; Vila et al., 2011).",TRUE,FALSE,FALSE
"Gallagher, B. K., Geargeoura, S. and Fraser, D. J. 2022. Effects of climate on salmonid productivity: a global meta-analysis across freshwater ecosystems. â€“ Global Change Biol. 28: 7250â€“7269.","Such findings are also in line with a recent global meta-analyses of 156 studies showing reduced salmonids productivity at low latitudes and elevations, likely caused by increased temperature and drought frequency, and increased productivity at high latitudes and elevations, where cold temperatures generally limit salmonid growth and abundance (Gallagher et al. 2022).",TRUE,TRUE,FALSE
"Gallagher, B. K., Geargeoura, S. and Fraser, D. J. 2022. Effects of climate on salmonid productivity: a global meta-analysis across freshwater ecosystems. â€“ Global Change Biol. 28: 7250â€“7269.","In a global meta-analysis, Gallagher et al. (2022) showed that increased precipitation during the growing season had a significantly higher negative effects on anadromous populations of salmonids compared to freshwater residents.",TRUE,FALSE,FALSE
"Gamez, Â´ S., Potts, A., Mills, K.L., Allen, A.A., Holman, A., Randon, P., Linson, O., Harris, N.C., 2022. Downtown diet: a global meta-analysis of urbanization on consumption patterns of vertebrate predators. Proc. Biol. Sci. 289 (1970), 20212487. https://doi.org/10.1098/rspb.2021.2487","Additionally, Wolfe et al. (2018) found that urban snakes were less likely to have prey present in their stomachs and were lighter than their rural conspecifics, and reptile diets exhibited the most sensitivity to urbanization when compared to mammals, birds, fish, and amphibians (Gamez Â´ et al., 2022).",TRUE,FALSE,FALSE
Gao J et al (2017) Meta-analysis of programmed cell death 1 polymorphisms with systemic lupus erythematosus risk. Oncotarget 8(22):36885,"The meta-analysis study showed that in Systemic lupus erythematosus, an autoimmune disease, the A allele and GA + AA genotypes are higher significantly (Gao et al. 2017).",TRUE,FALSE,FALSE
"Garamszegi LZ, MarkÃ³ G, Herczeg G (2013) A meta-analysis of correlated behaviors with implications for behavioral syndromes: relationships between particular behavioral traits. Behav Ecol 24(5):1068â€“1080","These results match the repeatability estimates of activity reported in the literature (R = 0.46, 95% CI 0.23â€“0.64; Garamszegi et al. 2013) and contribute to the growing body of literature on the importance of documenting among-individual variation in lesser studied taxa such as insects (Kralj-FiÅ¡er and Schuett 2014; Modlmeier et al. 2015; Jandt and Gordon 2016; Amat et al. 2018).",TRUE,TRUE,FALSE
"Garamszegi LZ, MarkÃ³ G, Herczeg G (2013) A meta-analysis of correlated behaviors with implications for behavioral syndromes: relationships between particular behavioral traits. Behav Ecol 24(5):1068â€“1080","Although mostly conceptualized as orthogonal dimensions, personality axes might display higher-order correlations with each other, forming constructs such as the proactiveâ€“reactive syndrome in response to environmental uncertainty (Coppens et al. 2010; Garamszegi et al. 2013).",TRUE,FALSE,FALSE
"Garamszegi LZ, MarkÃ³ G, Herczeg G (2013) A meta-analysis of correlated behaviors with implications for behavioral syndromes: relationships between particular behavioral traits. Behav Ecol 24:1068â€“1080","The repeatability of aggressiveness in various contexts has been documented in a wide range of taxa, including passerine birds (reviewed by Bell et al. 2009; Garamszegi et al. 2013; Briffa et al. 2015).",TRUE,FALSE,FALSE
"Garamszegi, L. Z., & MÃ¸ller, A. (2010). Effects of sample size and intraspecific variation in phylogenetic comparative studies: A meta-analytic review. Biological Reviews, 85(4), 797â€“805.","The final models for each trait yielded a Lambda score of 0, suggesting that there was phylogenetic signal in every trait, however the PGLS framework is less reliable when relatively few species are compared and when models include binary variable (Garamszegi & MÃ¸ller, 2010; e.g. mating system), therefore, so we also conducted separate linear mixed effects models (LMM) for each trait using the â€˜lme4â€™ package in R (Bates et al., 2015) to compare reproductive trait differ by mating system without controlling for phylogeny.",TRUE,FALSE,FALSE
"Garcia A, Martinez M, Diaz I, Santamaria ME (2021) The Price of the Induced Defense Against Pests: A Meta-Analysis. Front Plant Sci 11:615122.","For example how mating system, constitutive defence, lifespan, or growth-defence tradeoffs correlate with inducibility will identify the potential to select for inducibility in specific crops (Garcia et al. 2021; Johnson et al. 2015).",TRUE,FALSE,FALSE
"Garcia LC, Eubanks MD (2019) Overcompensation for insect herbivory: a review and meta-analysis of the evidence. Ecology 100:e02585.","Similarly, when insect herbivores damage main growth meristems, activation of growth in other meristems may result in larger number of side branches that increases flower and seed production (Garcia and Eubanks 2019).",TRUE,FALSE,FALSE
"GarcÃ­a-Ruiz JM, BeguerÃ­a S, Nadal-Romero E, GonzÃ¡lez- Hidalgo JC, Lana-Renault N, SanjuÃ¡n Y (2015) A meta- analysis of soil erosion rates across the world. Geomor- phology 239:160â€“173","Land tilling is often associated with soil erosion (GarcÃ­a-Ruiz et al. 2015), leading to an increase in sedimentary turbidity in rivers draining agricultural-dominated watersheds.",TRUE,FALSE,FALSE
"GarcÃ­a-Ruiz, J. M., BeguerÃ­a, S., Nadal-Romero, E., GonzÃ¡lez-Hidalgo, J. C., Lana-Renault, N., & SanjuÃ¡n, Y. (2015). A meta-analysis of soil erosion rates across the world. Geomorphology, 239, 160â€“173.","Soil formation rates vary widely worldwide, depending on climate, geology, topography, and other factors (GarcÃ­a-Ruiz et al., 2015).",TRUE,FALSE,FALSE
"GarcÃ­a-Verdugo, C., Baldwin, B. G., Fay, M. F., & CaujapÃ©-Castells, J. (2014). Life history traits and patterns of diversification in oceanic archipelagos: A meta-analysis. Botanical Journal of the Linnean Society, 174(3), 334â€“348.","If the species' current distribution in the region has been the result of independent long-distance dispersal events to each archipelago, we expect genetic structure to reflect natural biogeographical barriers within and between islands (i.e., isolation by distance with strong genetic structure among archipelagos; GarcÃ­a-Verdugo et al., 2014).",FALSE,FALSE,FALSE
"GarcÃ­a-Verdugo, C., Baldwin, B. G., Fay, M. F., & CaujapÃ©-Castells, J. (2014). Life history traits and patterns of diversification in oceanic archipelagos: A meta-analysis. Botanical Journal of the Linnean Society, 174(3), 334â€“348.","We tested whether geographical isolation is linked to population genetic variation that primarily resides within, rather than among, islands (GarcÃ­a-Verdugo et al., 2014; Mairal et al., 2015).",FALSE,FALSE,FALSE
"Gardner, C. J., Bicknell, J. E., Baldwin-Cantello, W., Struebig, M. J., & Davies, Z. G. (2019). Quantifying the impacts of defaunation on natural forest regeneration in a global meta-analysis. Nature Communications, 10, 4590.","However, our examples are ubiquitous in the tropics and defaunation is a widespread phenomenonâ€”from the polar icecaps to the equatorâ€” inducing detrimental impacts at landscape to global scales (Gardner et al., 2019).",FALSE,FALSE,FALSE
"Gardner, C.J., Bicknell, J.E., Baldwin-Cantello, W., Struebig, M.J., Davies, Z.G., 2019. Quantifying the impacts of defaunation on natural forest regeneration in a global meta-analysis. Nat. Commun. 10, 1â€“7. https://doi.org/10.1038/s41467-019-12539- 1.","However, the loss of important seed dispersers (e.g., medium and large sized vertebrates) due to defaunation of anthropogenic landscapes has threatened the maintenance of the seed dispersal process, with detrimental consequences for forest regeneration in the long term (Gardner et al., 2019; Haddad et al., 2015; Traveset et al., 2012; Vellend et al., 2006)",FALSE,FALSE,FALSE
"Gardner, C.J., Bicknell, J.E., Baldwin-Cantello, W., Struebig, M.J., Davies, Z.G., 2019. Quantifying the impacts of defaunation on natural forest regeneration in a global meta-analysis. Nat. Commun. 10, 1â€“7. https://doi.org/10.1038/s41467-019-12539- 1.","Thus, the drastic loss of large dispersers (Gardner et al., 2019; Traveset et al., 2012) associated with the decrease in diaspore removal by ants may indicate the impairment of seed dispersal process in tropical forests under anthropogenic influence",TRUE,FALSE,FALSE
"Garssen, A.G., Baattrup-Pedersen, A., Voesenek, L.A., Verhoeven, J.T., Soons, M.B., 2015. Riparian plant community responses to increased flooding: a meta-analysis. Global Change Biol 21, 2881â€“2890. https://doi.org/10.1111/gcb.12921.","Flooding events are becoming more frequent and have a great inf luence on the growth and development of plants, especially for plants growing in coastal and riverside areas (Garssen et al., 2015).",TRUE,FALSE,FALSE
"Garvin, M. R., Bielawski, J. P., Sazanov, L. A., & Gharrett, A. J. (2015). Review and meta-analysis of natural selection in mitochondrial complex I in metazoans. Jou of Zoological Systemetics and Evoloutionary Res, 53, 1â€“17.","Similar high positive selection and consequent adaptive potential in CI has been reported in meta-analysis of multiple species (Garvin et al., 2015), fishes (Consuegra et al., 2015), and mammoths (Ngatia et al., 2019)",TRUE,FALSE,FALSE
"Ge, Q., H. Wang, T. Rutishauser, and J. Dai. 2015. â€œPhenological Response to Climate Change in China: A Meta-Analysis.â€ Global Change Biology 21(1): 265â€“74.","Compared with secondary consumers, these species may more efficiently exploit the earlier phenology of vegetation, which has particularly advanced in the last decades (Ge et al., 2015; Root et al., 2003; Thackeray et al., 2010, 2016; but see Ovaskainen et al., 2013).",TRUE,FALSE,FALSE
